COL. NUM.,TICKET NUM.,FLORA,FAMILY,GENUS,SPECIES,AUTHORITY,COUNTRY,STATE,COUNTY,GENERAL LOCALITY,ELEVATION,LATITUDE,LONGITUDE,HABITAT,DET DATE,COLLECTION,WITH,DATE,HERBARIA,PROJECT
75,,Flora of Pennsylvania,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Pennsylvania,Lawrence,"McConnells Mill State Park. Slightly upstream on Slippery Rock Creek of intersetion between Slippery Rock Creek and Hell Run. On underside of large rock outcrop overlooking river, southfacing. About 16 cm to right of JAP74. ",281,40.91608,80.21503,,"July 17, 2020",Jessie A. Pelosi 75,,"July 17, 2020",NY,Population Genomics of Vittaria appalachiana
76,,Flora of Pennsylvania,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Pennsylvania,Lawrence,"McConnells Mill State Park. Slightly upstream on Slippery Rock Creek of intersetion between Slippery Rock Creek and Hell Run. On underside of large rock outcrop overlooking river, southfacing. About 16 cm to left of JAP74. ",281,40.91608,80.21503,,"July 17, 2020",Jessie A. Pelosi 76,,"July 17, 2020",NY,Population Genomics of Vittaria appalachiana
77,,Flora of Pennsylvania,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Pennsylvania,Lawrence,"McConnells Mill State Park. Slightly upstream on Hell Run of intersection of Slippery Rock Creek and Hell Run, opposite trail. Eastfacing rock face. ",264,40.91608,80.2157,,"July 17, 2020",Jessie A. Pelosi 77,,"July 17, 2020",NY,Population Genomics of Vittaria appalachiana
78,,Flora of Pennsylvania,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Pennsylvania,Lawrence,"McConnells Mill State Park. Slightly upstream on Hell Run of intersection of Slippery Rock Creek and Hell Run, opposite trail. Eastfacing rock face. About 16 cm to right of JAP77.",264,40.91608,80.2157,,"July 17, 2020",Jessie A. Pelosi 78,,"July 17, 2020",NY,Population Genomics of Vittaria appalachiana
79,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. Large rock overhang on east side of river, in crevices of southfacing rock face. ",272,39.46911,82.54463,,"July 18, 2020",Jessie A. Pelosi 79,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
80,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. Large rock overhang on east side of river, in crevices of southfacing rock face. About 1m to right of JAP 79. ",272,39.46911,82.54463,,"July 18, 2020",Jessie A. Pelosi 80,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
81,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. Small rock overhang, colony close to back of overhang. ",280,39.46968,82.54466,,"July 18, 2020",Jessie A. Pelosi 81,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
82,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. Small rock overhang, colony close to back of overhang. About 30cm to left of JAP81. ",280,39.46968,82.54466,,"July 18, 2020",Jessie A. Pelosi 82,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
83,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Overhang further north of JAP82. Vertical crevice between two large rocks. Collected in chunks across colony. ,274,39.47072,82.54482,,"July 18, 2020",Jessie A. Pelosi 83,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
84,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. ,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 84,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
85,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. About 2m to right of JAP 84 in cave along edge. ,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 85,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
86,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. About 16cm to left of JAP 85. ,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 86,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
87,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. About 16cm to left of JAP 86. ,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 87,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
88,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. About 16cm to left of JAP 87.,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 88,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
89,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. About 10 cm above JAP 86/87. ,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 89,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
90,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Southfacing rock overhang adajcent to large ravine. About 10 cm below JAP 87. ,271,39.47075,82.5445,,"July 18, 2020",Jessie A. Pelosi 90,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
91,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. At entrace of large cave, between two large rocks. On left side looking into cave, entrance faces east, on west side of river. Innermost portion of colony. ",263,39.47041,82.54594,,"July 18, 2020",Jessie A. Pelosi 91,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
92,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. At entrace of large cave, between two large rocks. On left side looking into cave, entrance faces east, on west side of river. About 2 m to left (toward entrance) from JAP 91. ",263,39.47041,82.54594,,"July 18, 2020",Jessie A. Pelosi 92,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
93,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. At entrace of large cave, between two large rocks. On left side looking into cave, entrance faces east, on west side of river. About 2 m to left (toward entrance) from JAP 92. ",263,39.47041,82.54594,,"July 18, 2020",Jessie A. Pelosi 93,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
94,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. At entrace of large cave, between two large rocks. On left side looking into cave, entrance faces east, on west side of river. Outermost portion of colony, about 2m to left of JAP93. ",263,39.47041,82.54594,,"July 18, 2020",Jessie A. Pelosi 94,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
95,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,Sheick Hollow Nature Preserve. Along edge of sandstone bluff. West of river. ,304,39.47004,82.54631,,"July 18, 2020",Jessie A. Pelosi 95,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
96,,Flora of Ohio,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Ohio,Hocking,"Sheick Hollow Nature Preserve. Along edge of sandstone bluff, west of river.  About 30 cm to right of JAP 95. ",304,39.47004,82.54631,,"July 18, 2020",Jessie A. Pelosi 96,,"July 18, 2020",NY,Population Genomics of Vittaria appalachiana
97,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. About 0.15 miles on Auxier Ridge Trail. Under large, northwest facing stone outcrop on left going down trail in wet area mixed with bryophytes.",370,37.82093,83.68076,,"July 19, 2020",Jessie A. Pelosi 97,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
98,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. About 0.15 miles on Auxier Ridge Trail. Under large, northwest facing stone outcrop on left going down trail in wet area mixed with bryophytes. About 30cm to right of JAP97. ",370,37.82093,83.68076,,"July 19, 2020",Jessie A. Pelosi 98,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
99,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. About 0.15 miles on Auxier Ridge Trail. Under large, northwest facing stone outcrop on left going down trail in wet area mixed with bryophytes. About 30cm to right of JAP97. ",370,37.82093,83.68076,,"July 19, 2020",Jessie A. Pelosi 99,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
100,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. About 0.15 miles on Auxier Ridge Trail. Under large, northwest facing stone outcrop on left going down trail in wet area mixed with bryophytes. About 10cm to left of JAP 99. ",370,37.82093,83.68076,,"July 19, 2020",Jessie A. Pelosi 100,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
101,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. About 0.15 miles on Auxier Ridge Trail. Under large, northwest facing stone outcrop on left going down trail in wet area mixed with bryophytes. About 10cm right of JAP 99. ",370,37.82093,83.68076,,"July 19, 2020",Jessie A. Pelosi 101,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
102,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. Osborne Bend Trail. Large sandstone cliff/rock face, southeast facing on ledge along bottom. ",298,37.82421,83.5722,,"July 19, 2020",Jessie A. Pelosi 102,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
103,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. Osborne Bend Trail. Large sandstone cliff/rock face, southeast facing on ledge along bottom. About 10cm from JAP 102. ",298,37.82421,83.5722,,"July 19, 2020",Jessie A. Pelosi 103,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
104,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,Daniel Boone National Forest. Osborne Bend Trail. Close to beginning of trail at cave mouth. ,293,37.82358,83.57215,,"July 19, 2020",Jessie A. Pelosi 104,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
105,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,Daniel Boone National Forest. Osborne Bend Trail. Close to beginning of trail at cave mouth. About 1 m to left and inward toward cave mouth compared to JAP104. ,293,37.82358,83.57215,,"July 19, 2020",Jessie A. Pelosi 105,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
106,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. Osborne Bend Trail. Close to beginning of trail at cave mouth. Along opposite mouth of cave, about 5 m compared to JAP 105. ",293,37.82358,83.57215,,"July 19, 2020",Jessie A. Pelosi 106,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
107,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,"Daniel Boone National Forest. Osborne Bend Trail. Close to beginning of trail at cave mouth. Along opposite mouth of cave, about 8m compared to JAP 105. Dark inlet. ",293,37.82358,83.57215,,"July 19, 2020",Jessie A. Pelosi 107,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
108,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Powell,Daniel Boone National Forest. Osborne Bend Trail. Close to beginning of trail along rockface. Collection from across population. ,260,37.82304,83.57283,,"July 19, 2020",Jessie A. Pelosi 108,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
109,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 109,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
110,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. Outermost portion of colony. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 110,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
111,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 10 cm inward toward back of cave from JAP 110. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 111,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
112,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 10 cm inward toward back of cave from JAP 111. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 112,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
113,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 30 cm inward toward back of cave from JAP 112. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 113,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
114,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. Below under ledge. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 114,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
115,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 30 cm inward toward back of cave from JAP 114. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 115,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
116,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 30 cm inward toward back of cave from JAP 115. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 116,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
117,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 30 cm inward toward back of cave from JAP 116. ",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 117,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
118,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Christian,"Pennyrile Forest State Park. Along Clifty Creek Trail. On right going away from golf course, eastfacing rock overhang on west side of stream. Hanging down from upper hang between upper and lower edges. Mixed with liverworts. About 30 cm inward toward back of cave from JAP 117.",162,37.07421,87.66478,,"July 19, 2020",Jessie A. Pelosi 118,,"July 19, 2020",NY,Population Genomics of Vittaria appalachiana
166,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Chautauqua ,Panama Rocks Scenic Park. Eastfacing rock behind flat top rock in crevice with liverworts. Near rock formation #2. Trail is poorly marked. ,,42.073203,79.486088,,"June 23, 2021",Jessie A. Pelosi 166,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
167,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Chautauqua ,"Panama Rocks Scenic Park. Northfacing crevice nested under fallen rocks. Low light level in pack. With liverworts, to left of large dark cave. Leftmost portion of colony.  ",,42.0728143,79.4861165,,"June 23, 2021",Jessie A. Pelosi 167,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
168,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Chautauqua ,"Panama Rocks Scenic Park. Northfacing crevice nested under fallen rocks. Low light level in pack. With liverworts, to left of large dark cave. About 20 cm to right of JAP 167",,42.0728143,79.4861165,,"June 23, 2021",Jessie A. Pelosi 168,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
169,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Chautauqua ,"Panama Rocks Scenic Park. Northfacing crevice nested under fallen rocks. Low light level in pack. With liverworts, to left of large dark cave. About 10 cm below JAP 167/168. ",,42.0728143,79.4861165,,"June 23, 2021",Jessie A. Pelosi 169,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
170,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Cattaraugus ,Rock City Park. Northeast facing crecice on right moving toward halfsphinx head coming from south. ,,42.017676,78.476877,,"June 23, 2021",Jessie A. Pelosi 170,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
171,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Cattaraugus ,Rock City Park. Northeast facing crecice on right moving toward halfsphinx head coming from south. About 30 cm to left of JAP 170. ,,42.017676,78.476877,,"June 23, 2021",Jessie A. Pelosi 171,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
172,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Cattaraugus ,Rock City Park. Northeast facing crecice on right moving toward halfsphinx head coming from south. About 2 m to left of JAP 170. Slightly above eyelevel. ,,42.017676,78.476877,,"June 23, 2021",Jessie A. Pelosi 172,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
173,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Cattaraugus ,"Rock City Park. In crevice facing northnorthwest to right of main trail. About 15m past ""Side Trail"" Marker on same rock as marker. Toward end of trail. ",,42.0180555,78.4768076,,"June 23, 2021",Jessie A. Pelosi 173,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
174,,Flora of New York,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,New York,Cattaraugus ,"Rock City Park. Deep in crevice on right side of trail. Directly to right of the ""Indian Stairs"" sign (white and red) toward end of trail. Crevice faces north. ",,42.01804,78.47612,,"June 23, 2021",Jessie A. Pelosi 174,K.M. Eaton,"June 23, 2021",NY,Population Genomics of Vittaria appalachiana
